subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub88,48.20952850001049,1572.7748835000093,AB,1524.5653549999988,25.409422583333313,True
sub89,41.362678900011815,1561.2331441999995,AB,1519.8704652999877,25.33117442166646,True
sub90,18.10309910000069,1528.9096550999966,AB,1510.806555999996,25.180109266666598,True
sub91,95.57247329998064,1618.0713783999963,AB,1522.4989051000157,25.37498175166693,True
sub92,14.498139300005278,1577.936629600008,AB,1563.4384903000027,26.057308171666712,True
sub93,20.653152899991255,1549.4064293999982,AB,1528.753276500007,25.479221275000114,True
sub94,37.23090270001558,1565.8979292000004,AB,1528.6670264999848,25.477783774999747,True
sub95,19.22616109997034,1548.0868088999996,AB,1528.8606478000293,25.481010796667153,True
sub96,18.304463700042103,1568.9878797000274,AB,1550.6834159999853,25.844723599999757,True
sub97,16.489299899956677,1559.876181199972,AB,1543.3868813000154,25.723114688333588,True
sub98,29.97015810001176,1609.0135659999796,AB,1579.0434078999679,26.31739013166613,True
sub99,23.543435900006443,1547.4643372999851,AB,1523.9209013999787,25.398681689999645,True
